"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"375Z4B49","webpage","","","Random regression and classification problem generation with symbolic expression","","","","","https://towardsdatascience.com/random-regression-and-classification-problem-generation-with-symbolic-expression-a4e190e37b8d","","","2020-06-07 21:28:06","2020-06-07 21:28:06","2020-06-07 21:28:06","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/KZYAN6YG/random-regression-and-classification-problem-generation-with-symbolic-expression-a4e190e37b8d.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y53IAIAC","webpage","","","Support Vector Regression Or SVR - Coinmonks - Medium","","","","","https://medium.com/coinmonks/support-vector-regression-or-svr-8eb3acf6d0ff","","","2020-06-07 21:28:14","2020-06-07 21:28:14","2020-06-07 21:28:14","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/WZY4BXN3/support-vector-regression-or-svr-8eb3acf6d0ff.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7HUNKSRD","webpage","","","Linear Regression Simplified - Ordinary Least Square vs Gradient Descent","","","","","https://towardsdatascience.com/linear-regression-simplified-ordinary-least-square-vs-gradient-descent-48145de2cf76","","","2020-06-07 21:28:19","2020-06-07 21:28:19","2020-06-07 21:28:19","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/AF4VNE98/linear-regression-simplified-ordinary-least-square-vs-gradient-descent-48145de2cf76.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TXZPFSF","webpage","","","Tutorial: Linear Regression with Stochastic Gradient Descent","","","","","https://towardsdatascience.com/step-by-step-tutorial-on-linear-regression-with-stochastic-gradient-descent-1d35b088a843","","","2020-06-07 21:28:30","2020-06-07 21:28:30","2020-06-07 21:28:30","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/VJL3K8CS/step-by-step-tutorial-on-linear-regression-with-stochastic-gradient-descent-1d35b088a843.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXNA23PA","webpage","","","1.5. Stochastic Gradient Descent — scikit-learn 0.23.1 documentation","","","","","https://scikit-learn.org/stable/modules/sgd.html","","","2020-06-07 21:28:37","2020-06-07 21:28:37","2020-06-07 21:28:37","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/4U9V4L3W/sgd.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYWCBENH","webpage","","","hyperparameter - Which parameters are hyper parameters in a linear regression? - Data Science Stack Exchange","","","","","https://datascience.stackexchange.com/questions/31614/which-parameters-are-hyper-parameters-in-a-linear-regression","","","2020-06-07 21:28:41","2020-06-07 21:28:41","2020-06-07 21:28:41","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/VGKCBDRQ/which-parameters-are-hyper-parameters-in-a-linear-regression.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63F27HC7","webpage","","","How to Interpret Adjusted R-Squared and Predicted R-Squared in Regression Analysis - Statistics By Jim","","","","","https://statisticsbyjim.com/regression/interpret-adjusted-r-squared-predicted-r-squared-regression/","","","2020-06-07 21:28:48","2020-06-07 21:28:48","2020-06-07 21:28:48","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/Y3UNUGPE/interpret-adjusted-r-squared-predicted-r-squared-regression.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRQ5SITW","webpage","","","K- Fold Cross Validation For Parameter Tuning - Data Driven Investor - Medium","","","","","https://medium.com/datadriveninvestor/k-fold-cross-validation-for-parameter-tuning-75b6cb3214f","","","2020-06-07 21:28:56","2020-06-07 21:28:56","2020-06-07 21:28:56","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/KYSE63Y9/k-fold-cross-validation-for-parameter-tuning-75b6cb3214f.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VG3B8VR","webpage","","","Overfitting vs. Underfitting: A Complete Example - Towards Data Science","","","","","https://towardsdatascience.com/overfitting-vs-underfitting-a-complete-example-d05dd7e19765","","","2020-06-07 21:29:02","2020-06-07 21:29:02","2020-06-07 21:29:02","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/DTE7HGMT/overfitting-vs-underfitting-a-complete-example-d05dd7e19765.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNPUVKLD","webpage","","","Machine-Learning-with-Python/Random Function Generator at master · tirthajyoti/Machine-Learning-with-Python · GitHub","","","","","https://github.com/tirthajyoti/Machine-Learning-with-Python/tree/master/Random%20Function%20Generator","","","2020-06-07 21:29:08","2020-06-07 21:29:08","2020-06-07 21:29:08","","","","","","","","","","","","","","","","","","","","","","","/Users/naimsassine/Zotero/storage/JQMC4CLW/Random Function Generator.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
